attendId,empId,month,year,workDays,absenceDays,overtimeHours,lateCount
ATT0000001,EMP0001,1,2024,18,3,19,2
ATT0000002,EMP0001,2,2024,18,2,2,0
ATT0000003,EMP0001,3,2024,22,1,10,2
ATT0000004,EMP0001,4,2024,21,2,9,0
ATT0000005,EMP0001,5,2024,20,2,1,2
ATT0000006,EMP0001,6,2024,18,1,10,1
ATT0000007,EMP0001,7,2024,22,2,2,0
ATT0000008,EMP0001,8,2024,18,3,20,2
ATT0000009,EMP0001,9,2024,22,2,14,1
ATT0000010,EMP0001,10,2024,20,3,17,3
ATT0000011,EMP0001,11,2024,18,2,0,2
ATT0000012,EMP0001,12,2024,22,0,6,0
ATT0000013,EMP0002,1,2024,22,1,18,0
ATT0000014,EMP0002,2,2024,20,3,3,1
ATT0000015,EMP0002,3,2024,21,2,16,1
ATT0000016,EMP0002,4,2024,21,2,4,0
ATT0000017,EMP0002,5,2024,22,3,6,3
ATT0000018,EMP0002,6,2024,20,3,13,2
ATT0000019,EMP0002,7,2024,18,3,16,2
ATT0000020,EMP0002,8,2024,22,1,6,0
ATT0000021,EMP0002,9,2024,19,0,8,3
ATT0000022,EMP0002,10,2024,22,2,20,1
ATT0000023,EMP0002,11,2024,20,0,6,0
ATT0000024,EMP0002,12,2024,18,1,19,2
ATT0000025,EMP0003,1,2024,21,1,9,3
ATT0000026,EMP0003,2,2024,18,2,10,1
ATT0000027,EMP0003,3,2024,22,0,5,2
ATT0000028,EMP0003,4,2024,21,0,12,0
ATT0000029,EMP0003,5,2024,22,3,6,1
ATT0000030,EMP0003,6,2024,20,3,18,1
ATT0000031,EMP0003,7,2024,19,3,16,2
ATT0000032,EMP0003,8,2024,20,1,20,2
ATT0000033,EMP0003,9,2024,19,3,19,0
ATT0000034,EMP0003,10,2024,20,1,17,3
ATT0000035,EMP0003,11,2024,21,0,17,1
ATT0000036,EMP0003,12,2024,21,3,9,0
ATT0000037,EMP0004,1,2024,20,0,19,3
ATT0000038,EMP0004,2,2024,18,1,5,0
ATT0000039,EMP0004,3,2024,22,2,6,2
ATT0000040,EMP0004,4,2024,21,1,9,1
ATT0000041,EMP0004,5,2024,20,1,18,3
ATT0000042,EMP0004,6,2024,21,2,20,1
ATT0000043,EMP0004,7,2024,22,2,5,0
ATT0000044,EMP0004,8,2024,20,0,20,3
ATT0000045,EMP0004,9,2024,22,0,16,1
ATT0000046,EMP0004,10,2024,22,2,0,3
ATT0000047,EMP0004,11,2024,22,3,11,2
ATT0000048,EMP0004,12,2024,22,0,4,0
ATT0000049,EMP0005,1,2024,20,2,11,0
ATT0000050,EMP0005,2,2024,20,0,6,2
ATT0000051,EMP0005,3,2024,20,2,0,2
ATT0000052,EMP0005,4,2024,19,2,17,2
ATT0000053,EMP0005,5,2024,19,3,6,2
ATT0000054,EMP0005,6,2024,20,3,8,1
ATT0000055,EMP0005,7,2024,22,3,6,1
ATT0000056,EMP0005,8,2024,19,0,20,0
ATT0000057,EMP0005,9,2024,21,1,9,3
ATT0000058,EMP0005,10,2024,20,0,16,1
ATT0000059,EMP0005,11,2024,22,0,7,1
ATT0000060,EMP0005,12,2024,19,0,14,1
ATT0000061,EMP0006,1,2024,21,1,18,3
ATT0000062,EMP0006,2,2024,21,1,9,2
ATT0000063,EMP0006,3,2024,22,1,4,1
ATT0000064,EMP0006,4,2024,19,3,5,3
ATT0000065,EMP0006,5,2024,21,0,19,2
ATT0000066,EMP0006,6,2024,22,1,16,0
ATT0000067,EMP0006,7,2024,20,2,17,0
ATT0000068,EMP0006,8,2024,20,3,14,1
ATT0000069,EMP0006,9,2024,22,1,16,0
ATT0000070,EMP0006,10,2024,21,3,11,2
ATT0000071,EMP0006,11,2024,20,3,19,3
ATT0000072,EMP0006,12,2024,21,3,19,0
ATT0000073,EMP0007,1,2024,22,0,11,2
ATT0000074,EMP0007,2,2024,21,2,15,2
ATT0000075,EMP0007,3,2024,22,1,20,2
ATT0000076,EMP0007,4,2024,21,3,10,3
ATT0000077,EMP0007,5,2024,19,0,20,2
ATT0000078,EMP0007,6,2024,19,0,16,3
ATT0000079,EMP0007,7,2024,19,2,14,1
ATT0000080,EMP0007,8,2024,21,1,12,0
ATT0000081,EMP0007,9,2024,19,2,5,3
ATT0000082,EMP0007,10,2024,21,0,13,3
ATT0000083,EMP0007,11,2024,22,3,7,0
ATT0000084,EMP0007,12,2024,20,1,9,1
ATT0000085,EMP0008,1,2024,18,3,5,3
ATT0000086,EMP0008,2,2024,19,0,9,0
ATT0000087,EMP0008,3,2024,21,0,8,0
ATT0000088,EMP0008,4,2024,19,3,12,3
ATT0000089,EMP0008,5,2024,20,0,10,3
ATT0000090,EMP0008,6,2024,20,3,17,0
ATT0000091,EMP0008,7,2024,18,2,4,3
ATT0000092,EMP0008,8,2024,21,1,17,0
ATT0000093,EMP0008,9,2024,21,0,10,1
ATT0000094,EMP0008,10,2024,19,2,17,0
ATT0000095,EMP0008,11,2024,20,1,4,2
ATT0000096,EMP0008,12,2024,18,0,10,3
ATT0000097,EMP0009,1,2024,20,3,8,1
ATT0000098,EMP0009,2,2024,21,0,0,0
ATT0000099,EMP0009,3,2024,18,1,8,0
ATT0000100,EMP0009,4,2024,22,3,2,1
ATT0000101,EMP0009,5,2024,21,3,13,3
ATT0000102,EMP0009,6,2024,18,0,6,3
ATT0000103,EMP0009,7,2024,19,3,14,1
ATT0000104,EMP0009,8,2024,18,0,14,2
ATT0000105,EMP0009,9,2024,22,3,11,2
ATT0000106,EMP0009,10,2024,19,0,3,2
ATT0000107,EMP0009,11,2024,18,0,2,2
ATT0000108,EMP0009,12,2024,21,3,19,0
ATT0000109,EMP0010,1,2024,19,2,17,3
ATT0000110,EMP0010,2,2024,22,3,13,1
ATT0000111,EMP0010,3,2024,22,2,20,2
ATT0000112,EMP0010,4,2024,19,2,19,2
ATT0000113,EMP0010,5,2024,18,0,10,1
ATT0000114,EMP0010,6,2024,22,1,16,1
ATT0000115,EMP0010,7,2024,19,3,20,1
ATT0000116,EMP0010,8,2024,22,0,13,2
ATT0000117,EMP0010,9,2024,22,1,5,0
ATT0000118,EMP0010,10,2024,19,2,17,2
ATT0000119,EMP0010,11,2024,20,3,20,2
ATT0000120,EMP0010,12,2024,19,1,19,0
ATT0000121,EMP0011,1,2024,18,2,8,1
ATT0000122,EMP0011,2,2024,20,3,10,0
ATT0000123,EMP0011,3,2024,20,3,12,2
ATT0000124,EMP0011,4,2024,19,2,10,1
ATT0000125,EMP0011,5,2024,18,3,20,0
ATT0000126,EMP0011,6,2024,22,1,6,1
ATT0000127,EMP0011,7,2024,22,3,3,0
ATT0000128,EMP0011,8,2024,21,2,15,2
ATT0000129,EMP0011,9,2024,20,3,6,3
ATT0000130,EMP0011,10,2024,19,2,9,0
ATT0000131,EMP0011,11,2024,21,0,4,2
ATT0000132,EMP0011,12,2024,18,0,3,2
ATT0000133,EMP0012,1,2024,21,1,9,0
ATT0000134,EMP0012,2,2024,19,2,0,3
ATT0000135,EMP0012,3,2024,22,0,1,3
ATT0000136,EMP0012,4,2024,19,0,17,2
ATT0000137,EMP0012,5,2024,19,3,4,0
ATT0000138,EMP0012,6,2024,18,0,13,2
ATT0000139,EMP0012,7,2024,18,3,14,0
ATT0000140,EMP0012,8,2024,19,0,7,2
ATT0000141,EMP0012,9,2024,21,3,5,0
ATT0000142,EMP0012,10,2024,22,3,8,3
ATT0000143,EMP0012,11,2024,21,3,1,0
ATT0000144,EMP0012,12,2024,21,3,6,1
ATT0000145,EMP0013,1,2024,19,1,0,2
ATT0000146,EMP0013,2,2024,22,1,4,3
ATT0000147,EMP0013,3,2024,21,0,9,1
ATT0000148,EMP0013,4,2024,22,2,7,3
ATT0000149,EMP0013,5,2024,19,3,17,2
ATT0000150,EMP0013,6,2024,18,0,14,2
ATT0000151,EMP0013,7,2024,22,3,20,3
ATT0000152,EMP0013,8,2024,19,3,14,3
ATT0000153,EMP0013,9,2024,22,2,17,2
ATT0000154,EMP0013,10,2024,21,0,14,1
ATT0000155,EMP0013,11,2024,21,0,9,2
ATT0000156,EMP0013,12,2024,20,2,1,3
ATT0000157,EMP0014,1,2024,18,1,4,0
ATT0000158,EMP0014,2,2024,20,2,13,1
