mechanism,run,threads,departments,employees,success,doublePayment,wrongLeave,elapsedMs,TPS
NO_LOCK,1,20,20,1000,20000,19000,1775,1593,12554.9278
NO_LOCK,2,20,20,1000,20000,19000,1775,1303,15349.1942
NO_LOCK,3,20,20,1000,20000,19000,1775,1246,16051.3644
SYNCHRONIZED,1,20,20,1000,1000,0,1775,108,9259.2593
SYNCHRONIZED,2,20,20,1000,1000,0,1775,77,12987.0130
SYNCHRONIZED,3,20,20,1000,1000,0,1775,74,13513.5135
OPTIMISTIC,1,20,20,1000,1000,0,1775,91,10989.0110
OPTIMISTIC,2,20,20,1000,1000,0,1775,75,13333.3333
OPTIMISTIC,3,20,20,1000,1000,0,1775,63,15873.0159
FILE_LOCK,1,20,20,1000,1000,0,1775,162,6172.8395
FILE_LOCK,2,20,20,1000,1000,0,1775,139,7194.2446
FILE_LOCK,3,20,20,1000,1000,0,1775,353,2832.8612
