entryId,empId,deptId,month,year,baseSalary,overtimePay,absenceDeduction,bonus,taxAmount,netSalary,status,version,processedAt
PE00000012,EMP0001,DEPT001,12,2024,6431130,328865,0,321557,354078,6727474,PROCESSED,1,2026-07-17
PE00000024,EMP0002,DEPT002,12,2024,17392763,296468,2371740,0,1531749,13785742,PROCESSED,1,2026-07-17
PE00000036,EMP0003,DEPT003,12,2024,11211248,1624357,1019204,0,1181640,10634761,PROCESSED,1,2026-07-17
PE00000048,EMP0004,DEPT004,12,2024,4948884,843560,224949,0,278375,5289120,PROCESSED,1,2026-07-17
PE00000060,EMP0005,DEPT005,12,2024,10969970,1776387,1495905,0,1125045,10125407,PROCESSED,1,2026-07-17
PE00000072,EMP0006,DEPT006,12,2024,15087525,2185977,2057390,0,1521611,13694501,PROCESSED,1,2026-07-17
PE00000084,EMP0007,DEPT007,12,2024,5021505,556360,228250,0,267481,5082134,PROCESSED,1,2026-07-17
PE00000096,EMP0008,DEPT008,12,2024,15796918,942430,2154125,0,1458522,13126701,PROCESSED,1,2026-07-17
PE00000108,EMP0009,DEPT009,12,2024,9255519,1183234,841411,0,959734,8637608,PROCESSED,1,2026-07-17
PE00000120,EMP0010,DEPT010,12,2024,8118093,138377,0,405905,433119,8229256,PROCESSED,1,2026-07-17
PE00000132,EMP0011,DEPT011,12,2024,15977182,0,0,798859,1677604,15098437,PROCESSED,1,2026-07-17
PE00000144,EMP0012,DEPT012,12,2024,17067502,872770,1551591,0,1638868,14749813,PROCESSED,1,2026-07-17
PE00000156,EMP0013,DEPT013,12,2024,9955276,593923,0,497764,552348,10494615,PROCESSED,1,2026-07-17
PE00000168,EMP0014,DEPT014,12,2024,11572292,1479412,0,578615,1363032,12267287,PROCESSED,1,2026-07-17
PE00000180,EMP0015,DEPT015,12,2024,12164476,1451443,1105861,0,1251006,11259052,PROCESSED,1,2026-07-17
PE00000192,EMP0016,DEPT016,12,2024,4678032,199348,0,233902,255564,4855718,PROCESSED,1,2026-07-17
PE00000204,EMP0017,DEPT017,12,2024,19688456,671197,0,984423,2134408,19209668,PROCESSED,1,2026-07-17
PE00000216,EMP0018,DEPT018,12,2024,12576170,321550,1714932,0,1118279,10064509,PROCESSED,1,2026-07-17
PE00000228,EMP0019,DEPT019,12,2024,5268743,673561,0,263437,310287,5895454,PROCESSED,1,2026-07-17
PE00000240,EMP0020,DEPT020,12,2024,14241400,2306136,647336,0,1590020,14310180,PROCESSED,1,2026-07-17
PE00000252,EMP0021,DEPT001,12,2024,10327863,1584388,1408345,0,1050391,9453515,PROCESSED,1,2026-07-17
PE00000264,EMP0022,DEPT002,12,2024,5357226,593556,0,267861,310932,5907711,PROCESSED,1,2026-07-17
PE00000276,EMP0023,DEPT003,12,2024,16462913,1122471,0,823146,1840853,16567677,PROCESSED,1,2026-07-17
PE00000288,EMP0024,DEPT004,12,2024,10411243,266197,946477,0,973096,8757867,PROCESSED,1,2026-07-17
PE00000300,EMP0025,DEPT005,12,2024,4515241,384822,615715,0,214217,4070131,PROCESSED,1,2026-07-17
PE00000312,EMP0026,DEPT006,12,2024,10146030,1470021,0,507302,1212335,10911018,PROCESSED,1,2026-07-17
PE00000324,EMP0027,DEPT007,12,2024,18307458,1404265,0,915373,2062710,18564386,PROCESSED,1,2026-07-17
PE00000336,EMP0028,DEPT008,12,2024,6917387,58955,943280,0,301653,5731409,PROCESSED,1,2026-07-17
PE00000348,EMP0029,DEPT009,12,2024,19298246,328947,0,964912,2059211,18532894,PROCESSED,1,2026-07-17
PE00000360,EMP0030,DEPT010,12,2024,12356730,1474383,1123339,0,1270777,11436997,PROCESSED,1,2026-07-17
PE00000372,EMP0031,DEPT011,12,2024,4510756,230664,0,225538,248348,4718610,PROCESSED,1,2026-07-17
PE00000384,EMP0032,DEPT012,12,2024,14472430,2096858,0,723622,1729291,15563619,PROCESSED,1,2026-07-17
PE00000396,EMP0033,DEPT013,12,2024,18291085,623560,2494239,0,1642041,14778365,PROCESSED,1,2026-07-17
PE00000408,EMP0034,DEPT014,12,2024,7748217,1188647,1056575,0,394014,7486275,PROCESSED,1,2026-07-17
PE00000420,EMP0035,DEPT015,12,2024,12177727,1556812,553533,0,1318101,11862905,PROCESSED,1,2026-07-17
PE00000432,EMP0036,DEPT016,12,2024,17835212,912028,810691,0,1793655,16142894,PROCESSED,1,2026-07-17
PE00000444,EMP0037,DEPT017,12,2024,8708093,0,395822,0,415614,7896657,PROCESSED,1,2026-07-17
PE00000456,EMP0038,DEPT018,12,2024,9490713,1213301,862792,0,984122,8857100,PROCESSED,1,2026-07-17
PE00000468,EMP0039,DEPT019,12,2024,8781164,74839,399144,0,845686,7611173,PROCESSED,1,2026-07-17
PE00000480,EMP0040,DEPT020,12,2024,9362379,478758,425563,0,470779,8944795,PROCESSED,1,2026-07-17
PE00000492,EMP0041,DEPT001,12,2024,10168065,1299895,462185,0,1100578,9905197,PROCESSED,1,2026-07-17
PE00000504,EMP0042,DEPT002,12,2024,10299823,175565,0,514991,1099038,9891341,PROCESSED,1,2026-07-17
PE00000516,EMP0043,DEPT003,12,2024,8412737,71699,382397,0,405102,7696937,PROCESSED,1,2026-07-17
PE00000528,EMP0044,DEPT004,12,2024,17593975,599795,799726,0,1739404,15654640,PROCESSED,1,2026-07-17
PE00000540,EMP0045,DEPT005,12,2024,10700534,455989,1459164,0,969736,8727623,PROCESSED,1,2026-07-17
PE00000552,EMP0046,DEPT006,12,2024,6002807,255801,818565,0,272002,5168041,PROCESSED,1,2026-07-17
PE00000564,EMP0047,DEPT007,12,2024,19016935,324152,0,950847,2029193,18262741,PROCESSED,1,2026-07-17
PE00000576,EMP0048,DEPT008,12,2024,15470157,131848,703189,0,1489882,13408934,PROCESSED,1,2026-07-17
PE00000588,EMP0049,DEPT009,12,2024,5748443,685894,261293,0,308652,5864392,PROCESSED,1,2026-07-17
PE00000600,EMP0050,DEPT010,12,2024,8627193,588218,1176435,0,803898,7235078,PROCESSED,1,2026-07-17
PE00000612,EMP0051,DEPT011,12,2024,15524440,529242,1411313,0,1464237,13178132,PROCESSED,1,2026-07-17
PE00000624,EMP0052,DEPT012,12,2024,8205558,419602,1118940,0,375311,7130909,PROCESSED,1,2026-07-17
