entryId,empId,deptId,month,year,baseSalary,overtimePay,absenceDeduction,bonus,taxAmount,netSalary,status,version,processedAt
PE00000001,EMP0001,DEPT001,1,2024,6431130,657729,292324,0,339827,6456708,PROCESSED,0,2024-01-28
PE00000002,EMP0001,DEPT001,2,2024,6431130,657729,584648,0,325211,6179000,PROCESSED,0,2024-02-28
PE00000003,EMP0001,DEPT001,3,2024,6431130,986594,0,321557,386964,7352317,PROCESSED,0,2024-03-28
PE00000004,EMP0001,DEPT001,4,2024,6431130,0,292324,0,306940,5831866,PROCESSED,0,2024-04-28
PE00000005,EMP0001,DEPT001,5,2024,6431130,164432,0,321557,345856,6571263,PROCESSED,0,2024-05-28
PE00000006,EMP0001,DEPT001,6,2024,6431130,986594,584648,0,341654,6491422,PROCESSED,0,2024-06-28
PE00000007,EMP0001,DEPT001,7,2024,6431130,493297,0,321557,362299,6883685,PROCESSED,0,2024-07-28
PE00000008,EMP0001,DEPT001,8,2024,6431130,712540,584648,0,327951,6231071,PROCESSED,0,2024-08-28
PE00000009,EMP0001,DEPT001,9,2024,6431130,219243,0,321557,348597,6623333,PROCESSED,0,2024-09-28
PE00000010,EMP0001,DEPT001,10,2024,6431130,328865,292324,0,323384,6144287,PROCESSED,0,2024-10-28
PE00000011,EMP0001,DEPT001,11,2024,6431130,931783,0,321557,384224,7300246,PROCESSED,0,2024-11-28
PE00000012,EMP0001,DEPT001,12,2024,6431130,328865,0,321557,354078,6727474,PENDING,0,
PE00000013,EMP0002,DEPT002,1,2024,17392763,2519974,1581160,0,1833158,16498419,PROCESSED,0,2024-01-28
PE00000014,EMP0002,DEPT002,2,2024,17392763,1334104,1581160,0,1714571,15431136,PROCESSED,0,2024-02-28
PE00000015,EMP0002,DEPT002,3,2024,17392763,2668208,2371740,0,1768923,15920308,PROCESSED,0,2024-03-28
PE00000016,EMP0002,DEPT002,4,2024,17392763,2668208,790580,0,1927039,17343352,PROCESSED,0,2024-04-28
PE00000017,EMP0002,DEPT002,5,2024,17392763,2816442,790580,0,1941863,17476762,PROCESSED,0,2024-05-28
PE00000018,EMP0002,DEPT002,6,2024,17392763,2668208,790580,0,1927039,17343352,PROCESSED,0,2024-06-28
PE00000019,EMP0002,DEPT002,7,2024,17392763,2371740,2371740,0,1739276,15653487,PROCESSED,0,2024-07-28
PE00000020,EMP0002,DEPT002,8,2024,17392763,148234,2371740,0,1516926,13652331,PROCESSED,0,2024-08-28
PE00000021,EMP0002,DEPT002,9,2024,17392763,2519974,0,869638,2078238,18704137,PROCESSED,0,2024-09-28
PE00000022,EMP0002,DEPT002,10,2024,17392763,2816442,0,869638,2107884,18970959,PROCESSED,0,2024-10-28
PE00000023,EMP0002,DEPT002,11,2024,17392763,1334104,0,869638,1959651,17636854,PROCESSED,0,2024-11-28
PE00000024,EMP0002,DEPT002,12,2024,17392763,296468,2371740,0,1531749,13785742,PENDING,0,
PE00000025,EMP0003,DEPT003,1,2024,11211248,955504,509602,0,1165715,10491435,PROCESSED,0,2024-01-28
PE00000026,EMP0003,DEPT003,2,2024,11211248,95550,509602,0,1079720,9717476,PROCESSED,0,2024-02-28
PE00000027,EMP0003,DEPT003,3,2024,11211248,1624357,1019204,0,1181640,10634761,PROCESSED,0,2024-03-28
PE00000028,EMP0003,DEPT003,4,2024,11211248,1815458,509602,0,1251710,11265394,PROCESSED,0,2024-04-28
PE00000029,EMP0003,DEPT003,5,2024,11211248,764403,1019204,0,1095645,9860802,PROCESSED,0,2024-05-28
PE00000030,EMP0003,DEPT003,6,2024,11211248,191101,0,560562,1196291,10766620,PROCESSED,0,2024-06-28
PE00000031,EMP0003,DEPT003,7,2024,11211248,668853,509602,0,1137050,10233449,PROCESSED,0,2024-07-28
PE00000032,EMP0003,DEPT003,8,2024,11211248,382202,509602,0,1108385,9975463,PROCESSED,0,2024-08-28
PE00000033,EMP0003,DEPT003,9,2024,11211248,573302,0,560562,1234511,11110601,PROCESSED,0,2024-09-28
PE00000034,EMP0003,DEPT003,10,2024,11211248,1242155,509602,0,1194380,10749421,PROCESSED,0,2024-10-28
PE00000035,EMP0003,DEPT003,11,2024,11211248,859954,509602,0,1156160,10405440,PROCESSED,0,2024-11-28
PE00000036,EMP0003,DEPT003,12,2024,11211248,1624357,1019204,0,1181640,10634761,PENDING,0,
PE00000037,EMP0004,DEPT004,1,2024,4948884,379602,0,247444,278797,5297133,PROCESSED,0,2024-01-28
PE00000038,EMP0004,DEPT004,2,2024,4948884,717026,224949,0,272048,5168913,PROCESSED,0,2024-02-28
PE00000039,EMP0004,DEPT004,3,2024,4948884,126534,224949,0,242523,4607946,PROCESSED,0,2024-03-28
PE00000040,EMP0004,DEPT004,4,2024,4948884,590492,674848,0,243226,4621302,PROCESSED,0,2024-04-28
PE00000041,EMP0004,DEPT004,5,2024,4948884,0,0,247444,259816,4936512,PROCESSED,0,2024-05-28
PE00000042,EMP0004,DEPT004,6,2024,4948884,379602,0,247444,278797,5297133,PROCESSED,0,2024-06-28
PE00000043,EMP0004,DEPT004,7,2024,4948884,379602,224949,0,255177,4848360,PROCESSED,0,2024-07-28
PE00000044,EMP0004,DEPT004,8,2024,4948884,253068,224949,0,248850,4728153,PROCESSED,0,2024-08-28
PE00000045,EMP0004,DEPT004,9,2024,4948884,506136,449899,0,250256,4754865,PROCESSED,0,2024-09-28
PE00000046,EMP0004,DEPT004,10,2024,4948884,548314,449899,0,252365,4794934,PROCESSED,0,2024-10-28
PE00000047,EMP0004,DEPT004,11,2024,4948884,421780,224949,0,257286,4888429,PROCESSED,0,2024-11-28
PE00000048,EMP0004,DEPT004,12,2024,4948884,843560,224949,0,278375,5289120,PENDING,0,
PE00000049,EMP0005,DEPT005,1,2024,10969970,467470,498635,0,1093881,9844924,PROCESSED,0,2024-01-28
PE00000050,EMP0005,DEPT005,2,2024,10969970,1215423,1495905,0,1068949,9620539,PROCESSED,0,2024-02-28
PE00000051,EMP0005,DEPT005,3,2024,10969970,93494,498635,0,1056483,9508346,PROCESSED,0,2024-03-28
PE00000052,EMP0005,DEPT005,4,2024,10969970,560964,498635,0,1103230,9929069,PROCESSED,0,2024-04-28
PE00000053,EMP0005,DEPT005,5,2024,10969970,1495905,498635,0,1196724,10770516,PROCESSED,0,2024-05-28
